latitude,longitude,location,area
-4.0,121.75,"-4.1213511,121.69294438375825","Kolaka, Southeast Sulawesi"
-4.75,121.75,"-4.6392558,121.75721102650508","Bombana, Southeast Sulawesi"
-5.25,123.5,"-5.3156704,123.58504369734992","Wakatobi, Southeast Sulawesi"
-3.25,121.0,"-3.2605039,121.09339837246316","Kolaka Utara, Southeast Sulawesi"
-3.5,121.75,"-3.5491199,121.7279646","Southeast Sulawesi, Southeast Sulawesi"
-3.5,122.0,"-3.4549579,121.97625695169512","Konawe Utara, Southeast Sulawesi"
-4.0,122.5,"-3.9918068,122.5180066","Kendari, Southeast Sulawesi"
-5.5,122.5,"-5.4620298,122.6057655","Baubau, Southeast Sulawesi"
0.5,123.0,"0.5384433,123.0594971","Gorontalo, Gorontalo"
0.75,121.75,"0.70182105,121.647074637769","Pohuwato, Gorontalo"
0.5,123.25,"0.5564031,123.30997053104662","Bone Bolango, Gorontalo"
0.75,123.0,"0.86619755,123.04952863746922","Gorontalo Utara, Gorontalo"
-3.5,119.0,"-3.5459286,118.9607438","Majene, West Sulawesi"
-3.25,119.25,"-3.3031896,119.1450522025905","Polewali Mandar, West Sulawesi"
-2.75,119.0,"-2.6757443,118.8885839","Mamuju, West Sulawesi"
-1.25,119.5,"-1.3447436,119.37951116599088","Pasangkayu, West Sulawesi"
-7.5,131.5,"-7.5740504,131.42239399371346","Kepulauan Tanimbar, Maluku"
-5.75,132.75,"-5.77148835,132.73776002114303","Maluku Tenggara, Maluku"
-3.0,129.5,"-3.1214456,129.45999219128663","Maluku Tengah, Maluku"
-3.25,126.75,"-3.35390945,126.64891836945","Buru, Maluku"
-6.25,134.5,"-6.2281475,134.49796567482778","Aru Islands, Maluku"
-3.25,128.5,"-3.1642057,128.48365583768998","Seram Bagian Barat, Maluku"
-3.75,128.25,"-3.6959434,128.178785","Ambon, Maluku"
-5.75,132.75,"-5.6389933,132.7429249","Tual, Maluku"
1.0,128.25,"1.0027852,128.24879355139635","Halmahera Timur, North Maluku"
0.75,128.0,"0.6301215,127.9720219","North Maluku, North Maluku"
0.75,127.5,"0.7852338,127.3831752","Ternate, North Maluku"
0.75,127.5,"0.6786796,127.4483156","Tidore Kepulauan, North Maluku"
-3.25,133.0,"-3.27040235,133.08884774738942","Fakfak, West Papua"
-3.5,134.25,"-3.51583585,134.3165746374882","Kaimana, West Papua"
-2.75,134.5,"-2.63252505,134.5661466112706","Teluk Wondama, West Papua"
-0.75,134.0,"-0.8614456,134.0767324","Manokwari, West Papua"
-0.75,131.25,"-0.8634105,131.2544805","Sorong, Southwest Papua"
-0.75,130.25,"-0.7125553,130.30344727618905","Raja Ampat, Southwest Papua"
-8.5,140.5,"-8.5067725,140.4052487","Mandala, South Papua"
-4.0,138.75,"-4.00515595,138.79116670619032","Muliama, Highland Papua"
-2.5,140.75,"-2.5387539,140.7037389","Jayapura, Papua"
-3.25,136.0,"-3.34679705,135.95027197764264","Kabupaten Nabire, Central Papua"
-1.75,136.25,"-1.7558371,136.36645232326111","Yapen Islands Regency, Papua"
-1.0,136.0,"-0.94260305,135.94141931810083","Biak Numfor, Papua"
-3.75,136.5,"-3.7426381,136.37780657611273","Paniai, Central Papua"
-4.5,137.0,"-4.58752585,136.94779637745836","Mimika, Central Papua"
-6.0,140.25,"-6.1058244,140.3130821","Boven Digoel, South Papua"
-6.25,139.25,"-6.3295533,139.2877311769568","Mappi, South Papua"
-5.5,138.75,"-5.53144865,138.78969207926625","Asmat, South Papua"
-4.25,139.5,"-4.3739458,139.46481619972155","Yahukimo, Highland Papua"
-4.5,140.5,"-4.47549205,140.55767765000002","Pegunungan Bintang, Highland Papua"
-3.5,138.25,"-3.4496601,138.34912941377996","Tolikara, Highland Papua"
-1.75,138.75,"-1.8546889,138.7492642","Sarmi, Papua"
-3.25,140.75,"-3.33359215,140.6726624835297","Keerom, Papua"
-2.75,136.75,"-2.71879645,136.65041114488832","Waropen Regency, Papua"
-0.75,135.75,"-0.7535972,135.63496449965294","Supiori, Papua"
-2.5,137.75,"-2.39570045,137.81688352876023","Mamberamo Raya, Papua"
1.75,100.0,"1.83365285,100.06837229666324","South Labuhanbatu, North Sumatra"
1.0,97.25,"0.8964868,97.34332682","West Nias, North Sumatra"
1.25,97.5,"1.2900569,97.6150768","Gunungsitoli, North Sumatra"
1.0,102.5,"0.87785565,102.52801484903829","Tebing Tinggi Barat, Riau"
-4.5,105.25,"-4.43242555,105.16826426180435","Tulang Bawang Barat, Lampung"
-5.25,105.0,"-5.36668925,104.97221206481078","Pringsewu, Lampung"
-4.0,105.25,"-3.97541905,105.37494356303488","Mesuji, Lampung"
3.0,105.75,"2.93890105,105.76025801074812","Kepulauan Anambas, Riau Islands"
-7.75,110.25,"-7.721218,110.337785","Sumberadi, Special Region of Yogyakarta"
-8.25,116.25,"-8.3572425,116.1609208","Lombok Utara, West Nusa Tenggara"
-10.5,122.0,"-10.52223145,121.88845836848472","Sabu Raijua, East Nusa Tenggara"
0.75,124.5,"0.7649432,124.443775","Bongkudai Baru, North Sulawesi"
0.5,124.25,"0.4533359999999999,124.17963002979504","Bolaang Mongondow Selatan, North Sulawesi"
-1.25,120.0,"-1.3211588,119.9987265","Sigi Regency, Central Sulawesi"
-2.75,119.75,"-2.861242,119.84201182894404","Toraja Utara, South Sulawesi"
-7.75,126.25,"-7.7867206,126.24278269900458","Maluku Barat Daya, Maluku"
2.25,128.5,"2.31292335,128.4418555663806","Pulau Morotai, North Maluku"
-0.75,132.75,"-0.85012825,132.7243580581813","Tambrauw, Southwest Papua"
-3.75,139.5,"-3.7353308,139.55058153295795","Yalimo, Highland Papua"
-4.0,138.25,"-3.9977349,138.37311646689645","Lanny Jaya, Highland Papua"
-4.0,135.75,"-4.00475095,135.71669639990017","Dogiyai, Central Papua"
-3.5,136.75,"-3.5229883,136.71846614467228","Intan Jaya, Central Papua"
-4.25,136.5,"-4.18793855,136.44531264172787","Deiyai, Central Papua"
