model,family,quant,mode,mae_penalised,mae_matched,step_coverage,extraction_rate,skill_penalised,skill_matched
persistence,baseline,baseline,baseline,3444.6906,3444.6906,100.0,100.0,,
llama3:8b-instruct-q2_K,llama3,q2_K,zeroshot,53570.4457,45750.1448,18.3333,0.0,-14.5516,-12.2814
