model,family,quant,mode,l1loss,l1loss_matched,timestamp_coverage,coverage,skill_l1loss,skill_l1loss_matched,bertscore,cosinesim,bleu,rouge_l
persistence,baseline,baseline,baseline,0.5857,0.5857,100.0,100.0,,,0.5586,0.5157,0.0116,0.7102
llama3:8b-instruct-q2_K,llama3,q2_K,fewshot,52.125,0.841,82.1825,82.1825,,,0.7033,0.8991,0.5314,0.724
