model,family,quant,mode,accuracy,precision,recall,f1,peak_mae,lenient,consistency,extraction_rate,tp,fp,fn,tn
threshold_rule,baseline,baseline,baseline,0.7,0.8,0.6667,0.7273,64087.4025,0.7,1.0,100.0,4,1,2,3
llama3:8b-instruct-q2_K,llama3,q2_K,zeroshot,0.6,0.75,0.5,0.6,24662.7133,0.6,1.0,100.0,3,1,3,3
