model,family,quant,mode,accuracy,precision,recall,f1,peak_mae,lenient,consistency,extraction_rate,tp,fp,fn,tn
threshold_rule,baseline,baseline,baseline,0.7,0.8,0.6667,0.7273,64087.4025,0.7,1.0,100.0,4,1,2,3
llama3:8b-instruct-q2_K,llama3,q2_K,fewshot,0.3333,0.45,0.4,0.4222,63450.9756,0.3333,1.0,100.0,2.0,2.3333,3.0,0.6667
