model,family,quant,mode,mae_penalised,mae_matched,step_coverage,extraction_rate,skill_penalised,skill_matched
persistence,baseline,baseline,baseline,3854.4697,3854.4697,100.0,100.0,,
llama3:8b-instruct-q2_K,llama3,q2_K,zeroshot,55169.1805,47998.4975,11.8125,1.0,-13.313,-11.4527
