model,family,quant,mode,l1loss,l1loss_matched,timestamp_coverage,coverage,skill_l1loss,skill_l1loss_matched,bertscore,cosinesim,bleu,rouge_l
persistence,baseline,baseline,baseline,0.458,0.458,100.0,100.0,,,0.5661,0.5253,0.013,0.7209
llama3:8b-instruct-q2_K,llama3,q2_K,zeroshot,149.7805,0.5862,47.619,47.619,,,0.3406,0.696,0.1582,0.4289
