model,family,quant,mode,mae_penalised,mae_matched,step_coverage,extraction_rate,skill_penalised,skill_matched
persistence,baseline,baseline,baseline,3444.6906,3444.6906,100.0,100.0,,
llama3:8b-instruct-q2_K,llama3,q2_K,fewshot,9658.7058,7075.3801,93.8272,18.5185,-1.8039,-1.054
